State,City,TotalPopulation,PercentMale,PercentFemale,MedianAge,PercentOver65,PercentWhite,PercentBlack,PercentHispanic,PercentAsian,MedianHouseholdIncome,MeanHouseholdIncome,MedianIncomeFemale,MedianIncomeMale,AverageHouseholdSize, AverageFamilySize ,EdElementaryPercent,EdHighSchoolPercent,EdAssociatePercent,EdBachelorsPercent,EdGraduatePercent,AvgLowTemp,AvgHighTemp,ElectionResults
AL,Troy,17562,45.1,54.9,24.9,11.9,56.9,38.2,2.6,2.8,31122,49021,32079,46445,2.33,2.84,4,26.7,2.4,20.5,14.3,53.5,76.5,red
AL,Trussville,19085,48.2,51.8,41.7,14.6,92.4,5,1.1,0.7,87878,100976,46616,62900,2.82,3.16,0.6,21.9,8.1,26.3,13.1,53.5,76.5,red
AL,Tuscaloosa,89035,47.4,52.6,26.7,12.5,50.2,44,3.3,1.9,34359,54033,30645,35920,2.54,3.31,4.5,26.4,4.7,18.5,14.2,53.5,76.5,red
AL,Tuskegee,10007,45.3,54.7,26.8,13.8,4.5,95,1.6,0,26325,38151,26375,35909,2.21,3.18,5.5,22.3,6.8,16.6,13.7,53.5,76.5,red
AL,VestaviaHills,33600,47.1,52.9,40.1,18.3,90,3.5,1.2,4.2,86509,127624,53435,84474,2.45,3.07,0.6,10.7,2.8,38.3,29,53.5,76.5,red
AK,Fairbanks,31467,52.3,47.7,28.2,9.3,64.8,11.5,7.2,3.7,55409,67051,38860,43068,2.42,3,3.9,27.9,10,13.9,6.5,30.3,43.7,red
AK,Juneauandborough,31244,50.8,49.2,38.6,11.2,67.7,1.6,5.3,5.4,77465,93994,43368,58563,2.46,2.94,1,22.9,6.5,22.8,13.6,30.3,43.7,red
AZ,ApacheJunction,35100,49.3,50.7,47.4,31,78.9,1.7,16.4,1.2,40010,50099,33240,41917,2.32,2.88,5.1,35.4,10.1,7.8,4.1,63.4,86.7,red
AZ,Avondale,73148,48.8,51.2,28,7.1,34.2,10.5,51.8,3.3,59953,67174,35530,40626,3.31,3.71,11.7,26.1,8.4,13.9,6.2,63.4,86.7,red
AZ,BullheadCity,39910,51.6,48.4,47.1,29.6,73.8,1.7,21,1.7,38930,48012,29009,33151,2.37,2.87,5.4,33.5,6.1,9.6,4,63.4,86.7,red
AZ,CasaGrande,45787,46.6,53.4,35.5,18.3,51.3,5.1,37.6,2.5,44467,57047,35589,43043,2.7,3.15,5.8,30.7,8.6,12.9,6,63.4,86.7,red
AZ,Chandler,233509,49.5,50.5,33.7,9.7,62.1,6.1,22.2,7.5,71343,87749,43401,58618,2.7,3.26,3.6,18.4,9.3,25.8,13.7,63.4,86.7,red
AZ,Coolidge,11362,45.9,54.1,33.5,14.1,53.2,8.6,33.3,0.5,45313,54375,35621,45181,2.67,3.2,7,30.9,7.6,8.4,5.1,63.4,86.7,red
AZ,Cottonwood,11321,48.2,51.8,48.6,30.2,68.2,0.5,29.1,0,34492,44688,26169,30000,2.08,2.96,5.1,30.2,7.8,12.4,5.1,63.4,86.7,red
AZ,Douglas,17363,54.1,45.9,32.7,15.5,16.4,3.7,79.5,0.2,27356,38833,28111,30194,2.96,3.56,17.9,26,5.8,7.4,3.8,63.4,86.7,red
AZ,ElMirage,29720,47.7,52.3,26.9,7.2,39,7.2,50.9,1,48084,54824,32181,39611,3.49,3.84,13.2,27.7,9.4,8.8,3.2,63.4,86.7,red
AZ,Eloy,15901,62.6,37.4,32.8,11.2,17.9,10.4,67.2,2.1,32154,40734,23979,25728,2.94,3.35,18.4,33.1,3.9,3.2,2.9,63.4,86.7,red
AZ,Flagstaff,64758,49.2,50.8,26.2,8.6,64.2,2.6,18.3,2.5,48758,63666,35051,41970,2.6,3.1,3.8,17.2,8.2,23,18.9,63.4,86.7,red
AZ,Glendale,229611,49.3,50.7,32.3,11,52.2,7.2,35.3,3.5,51570,64778,36058,42946,2.84,3.4,7.4,26.5,8.7,14.5,6.9,63.4,86.7,red
AZ,Goodyear,61313,49.1,50.9,34.3,12.3,60.4,7,28.4,3,72500,84869,38063,53941,2.91,3.23,3.8,23.3,10.3,18.5,9.4,63.4,86.7,red
AZ,Kingman,28022,49.3,50.7,43.2,22.4,79.1,1.6,14.6,0.7,47045,56959,31217,40074,2.54,3.04,2.9,33,8.7,9.3,5.9,63.4,86.7,red
AZ,LakeHavasuCity,52683,49,51,48.5,29.2,85.8,1.3,10.8,0.9,44069,57593,31610,40806,2.33,2.78,2.3,32.9,8.1,9.6,5.1,63.4,86.7,red
AZ,Maricopa,38721,49.5,50.5,31.3,7.8,60.1,8.3,23.5,4.8,65556,71611,38454,50967,2.86,3.26,2.1,24.9,13,21.3,6.5,63.4,86.7,red
AZ,Mesa,441711,49.5,50.5,34.9,17.6,65.5,3.7,25.7,2,49872,64260,35989,41824,2.63,3.22,6.2,27,8.3,15.6,7.9,63.4,86.7,red
AZ,Nogales,20958,47.5,52.5,34.2,18.1,4.6,0.3,94.2,0.2,28843,47517,20646,27304,3.71,4.53,20.9,32.8,3.5,6.9,1.9,63.4,86.7,red
AZ,Peoria,151770,48.2,51.8,37.9,16.8,72.8,5.2,18.3,2.9,64270,78484,39992,52652,2.71,3.23,3.3,25.6,9.2,17.5,9.1,63.4,86.7,red
AZ,Phoenix,1455565,50.4,49.6,31.8,10.4,47.3,7.1,40.1,3.1,48596,66709,36263,41134,2.78,3.48,10.2,24.3,7.1,16.5,8.8,63.4,86.7,red
AZ,Prescott,40055,49.3,50.7,53.2,35.3,85.5,0.9,9.1,1.9,43867,61318,37997,37323,2.03,2.6,2.5,22.1,8.2,20.3,15.1,63.4,86.7,red
AZ,SanLuis,25085,52,48,28,7.8,2.8,1.9,94.5,0.3,28548,34495,21723,31555,3.55,3.69,30.4,15.9,3.1,7.6,0.2,63.4,86.7,red
AZ,Scottsdale,219311,47.6,52.4,45.4,23.9,83.9,2,9,3.3,71816,109956,49852,67434,2.16,2.78,1.6,14.9,7,32.1,20.1,63.4,86.7,red
AZ,Sedona,10216,46.5,53.5,56.4,35.1,88.7,1.5,8.7,0.4,52204,96364,36563,51625,1.86,2.51,1.9,16.4,5.1,25.1,22.2,63.4,86.7,red
AZ,ShowLow,10493,49.2,50.8,46.8,29.7,77.7,2.7,13.2,1.1,36941,49155,30377,48285,2.41,2.88,2.5,30.7,7.4,10.9,6.1,63.4,86.7,red
AZ,SierraVista,43970,49,51,34.4,17.9,62.9,9.4,20.1,4.5,56671,67952,36202,51337,2.47,2.98,3.4,20.3,13,18.4,10.9,63.4,86.7,red
AZ,Somerton,13740,48.2,51.8,28.1,11.3,4.6,0.2,93.9,0.3,30290,37892,23609,28889,3.22,3.41,33.4,23.2,7.1,2.8,1.6,63.4,86.7,red
AZ,Surprise,110097,48.2,51.8,35.4,21.6,73.3,5.5,17.8,1.6,60687,68966,39898,51912,2.77,3.16,3,24.8,10.2,17.8,9.7,63.4,86.7,red
AZ,Tempe,163928,51.3,48.7,27.9,10.3,61.4,6.2,20.7,7,48618,65319,37604,43685,2.43,3.09,4.8,15.6,7.9,24.6,16.7,63.4,86.7,red
AZ,Tucson,520981,49.4,50.6,33,14.4,47.9,5.8,41.3,2.7,37448,49652,31612,37186,2.43,3.21,6.9,24.9,7.9,14.8,9.6,63.4,86.7,red
AZ,Yuma,92367,49.9,50.1,30,14.9,38,4.1,55.4,1.5,44113,56071,27659,38498,2.59,2.97,11.1,25,7.7,10.6,5.9,63.4,86.7,red
AR,Arkadelphia,10733,44.8,55.2,22.9,12.8,64.4,32.6,2.3,0.7,29880,50116,33300,39825,2.4,3.24,4.1,28.3,5.6,17.5,20.1,52.5,72.8,red
AR,Batesville,10126,47.6,52.4,34.4,19.6,79.9,7.4,11.3,1.8,29588,50291,26559,30330,2.42,2.93,10,35.1,3.1,12.1,8.6,52.5,72.8,red
AR,Benton,29954,47.7,52.3,36,14.6,86.5,6.7,5.3,0.5,49858,63387,36840,45923,2.59,3.12,3,30.7,6.8,18.4,7.4,52.5,72.8,red
AR,Bentonville,34022,51.1,48.9,31.7,9.8,77.9,2.7,9.1,6.5,54194,77629,34988,52626,2.57,3.15,3.9,25.2,6.8,24.6,11.8,52.5,72.8,red
AR,Blytheville,15718,47.7,52.3,34.2,17.5,40,57.5,2.3,0.4,30700,48164,28094,40635,2.48,3.14,8.8,34,5.6,11.2,7.1,52.5,72.8,red
AR,Bryant,16247,48.2,51.8,35.2,15.7,87.6,8,1.6,1.3,58992,67543,38887,50437,2.5,3.12,3.1,33.2,6.8,22.1,8.4,52.5,72.8,red
AR,Cabot,23040,49.5,50.5,31.2,10.1,89.8,2.3,5.1,1.1,55543,67171,35039,48031,2.74,3.2,3.1,26.7,11.5,15.9,8.1,52.5,72.8,red
AR,Camden,12177,46.6,53.4,42,20.3,41.2,56,1.7,0.1,30438,42385,26250,40236,2.33,3.01,4.5,36.9,6.4,11.6,4.7,52.5,72.8,red
AR,Conway,57681,47.5,52.5,27.1,10.1,75.4,16.3,5.2,1.8,44745,61769,33303,46612,2.47,3.03,4.5,24,5.9,24,11.1,52.5,72.8,red
