State,City,TotalPopulation,PercentMale,PercentFemale,MedianAge,PercentOver65,PercentWhite,PercentBlack,PercentHispanic,PercentAsian,MedianHouseholdIncome,MeanHouseholdIncome,MedianIncomeFemale,MedianIncomeMale,AverageHouseholdSize, AverageFamilySize ,EdElementaryPercent,EdHighSchoolPercent,EdAssociatePercent,EdBachelorsPercent,EdGraduatePercent,AvgLowTemp,AvgHighTemp,ElectionResults
MA,Somerville,75566,48.4,51.6,30.7,10.9,71.5,6.8,10,9.9,64480,76652,45439,47839,2.29,2.93,5.9,21.4,4,26.6,26.3,44.1,58.7,blue
MA,SouthbridgeTown,16800,48.6,51.4,36.6,17.1,63.2,3.6,30.6,2.4,43965,54921,32390,46016,2.54,3.07,9.5,39.7,7.5,9.2,5.1,44.1,58.7,blue
MA,Springfield,152992,47.5,52.5,32,13.8,37.9,24.5,37.4,2.3,35603,48329,37010,41753,2.6,3.23,10.9,33.1,7.1,10.8,6.4,44.1,58.7,blue
MA,Taunton,55930,48.3,51.7,38.4,16,84.1,6.9,6.7,1,53401,65981,39950,49938,2.53,3.07,8.3,34.3,8.7,13,6.6,44.1,58.7,blue
MA,Waltham,60209,49.2,50.8,34,14.8,66.7,6.8,13.3,11.3,68326,83414,50017,54571,2.25,2.96,5.3,26.2,5.2,25.9,19.6,44.1,58.7,blue
MA,WaterTown,31792,47.5,52.5,38.8,17.6,84.3,3,5.1,6.5,76718,91377,54447,58555,2.17,2.85,5.6,20.4,5.3,29.3,25.3,44.1,58.7,blue
MA,Westfield,41025,47.8,52.2,38.6,16.7,88.9,2.3,6.7,1.8,53772,69706,37613,53144,2.5,3.09,3.9,35.1,9.9,17.4,8.5,44.1,58.7,blue
MA,WestSpringfieldTown,28320,49.9,50.1,39.6,18.3,84.7,2.9,7.5,4,54251,66535,37619,50488,2.42,3.1,4.2,33,10.1,17.5,8.5,44.1,58.7,blue
MA,WeymouthTown,53565,47.3,52.7,41.6,18.5,89.1,3.6,2.4,3.9,68594,84354,50878,60551,2.35,3.04,1.8,32.1,10.5,23.2,9.5,44.1,58.7,blue
MA,WinthropTown,17430,46.9,53.1,42.6,19.3,87.4,3.9,5,0.8,61744,84036,52127,61331,2.35,3.04,2.3,29.9,8.5,21.7,10.5,44.1,58.7,blue
MA,Woburn,37831,48.8,51.2,39.6,18.3,84.1,4.3,4.1,6.8,72540,81682,47021,56641,2.45,3.12,3.1,34.8,7.7,18.9,12.7,44.1,58.7,blue
MA,Worcester,180519,47.8,52.2,34.3,15,63,12.1,19.3,5.6,45846,60926,38732,45972,2.4,3.1,7.2,28.2,7.4,18.6,11.4,44.1,58.7,blue
MI,Adrian,21388,47.5,52.5,33.9,17,76,7.2,15.7,0.4,35022,44077,30443,44686,2.34,3.09,5.6,37.7,5.6,12.2,8.3,39.1,57.3,blue
MI,AllenPark,28321,46.4,53.6,40.6,18.6,87.7,2.4,9,0.6,55553,66544,45652,55075,2.56,3.21,3.8,32.5,9.7,15.2,7,39.1,57.3,blue
MI,Alpena,10562,47.3,52.7,40.5,21.6,96.2,0.7,0.7,0.9,31805,43038,30397,43232,2.2,2.77,3.4,30.5,13.8,11.9,6.9,39.1,57.3,blue
MI,AnnArbor,114783,49,51,27,11.3,69.9,9.7,4,14.5,53377,77239,46703,56576,2.23,2.84,1.3,8.5,4.4,28.7,42.3,39.1,57.3,blue
MI,AuburnHills,21299,47.5,52.5,31.8,11.3,63.3,14.6,12.2,8.5,52047,63208,40123,50964,2.25,2.9,3.1,20.1,10,22.2,16.7,39.1,57.3,blue
MI,BattleCreek,52534,48.2,51.8,35.4,16.3,66.5,22.3,8,2.4,38760,53368,35944,41969,2.5,3.18,3.7,33.8,7.6,12.5,7,39.1,57.3,blue
MI,BayCity,35080,48.5,51.5,36,14.9,85.5,4.5,8.4,0.3,36113,44622,31519,38150,2.41,3.12,4.1,35.6,8.1,11.7,5,39.1,57.3,blue
MI,BentonHarbor,10173,46.1,53.9,29.1,10.4,6.2,90.8,1.5,1.1,17815,25170,22014,27042,2.79,3.72,6.7,37.3,3.6,3.3,2.4,39.1,57.3,blue
MI,Berkley,15041,49.1,50.9,38.4,14,90.1,5,2.4,1.8,67217,76573,49882,62112,2.24,2.94,1.4,20.3,8.4,27.4,16.5,39.1,57.3,blue
MI,BigRapids,10655,52.9,47.1,21.6,7.7,84.6,9,2.5,2.7,21883,35481,30802,38164,2.28,2.89,1.3,27,10.9,17.4,10.7,39.1,57.3,blue
MI,Birmingham,20037,47.2,52.8,41.6,17.7,91,4.4,1.8,1.6,100473,151887,61791,103456,2.26,2.92,0.2,6.7,4.8,35.5,37.6,39.1,57.3,blue
MI,Burton,30201,49.7,50.3,38,14.9,88.6,7.2,2.2,0.2,44253,53819,34952,45516,2.57,3.17,2.4,37.5,9.5,9.5,4.5,39.1,57.3,blue
MI,Cadillac,10384,48.9,51.1,38.7,19.3,94.3,1.2,2.6,0,35774,41854,25472,36806,2.36,3.09,2.3,41,8.8,9.5,4.2,39.1,57.3,blue
MI,Clawson,11945,51.2,48.8,40.2,18.3,93.1,2.8,1,2.1,51584,62929,44826,48671,2.15,2.92,2.7,27.1,10,22.6,9.7,39.1,57.3,blue
MI,Coldwater,10980,47.5,52.5,34.4,15.6,88.3,1.6,8.1,1.3,35933,45242,29896,42265,2.61,3.32,4.6,38.6,7,8.7,6.5,39.1,57.3,blue
MI,Dearborn,98013,49.8,50.2,34.1,14.7,87.6,4.3,4.2,1.9,46685,64450,44548,52020,2.91,3.81,9.7,23.1,6.9,17.7,12.6,39.1,57.3,blue
MI,DearbornHeights,57769,48.5,51.5,38.7,19.5,84.1,8.3,3.8,2.1,47241,57356,34564,50761,2.64,3.35,5.8,34.5,7,11.3,6.8,39.1,57.3,blue
MI,Detroit,738223,47.1,52.9,34.4,13.9,8.2,83.7,6.7,1.1,27862,39327,31721,37230,2.75,3.7,6.5,33.4,6.2,7.3,4.9,39.1,57.3,blue
MI,EastGrandRapids,10743,48.1,51.9,38.4,12.4,96.4,0.5,0.3,1,99063,130803,57222,92069,2.78,3.19,0.2,5.8,7,47.1,29.6,39.1,57.3,blue
MI,EastLansing,48441,49.3,50.7,21.3,7.2,76.4,9.2,2.8,10.2,31694,58350,42953,53529,2.32,2.92,1.3,9.6,5,32.7,37.2,39.1,57.3,blue
MI,Eastpointe,32726,47.7,52.3,35.5,13.3,63,33,1.2,1.6,44802,51034,34327,42810,2.58,3.27,3.3,35.2,8.8,7.9,4,39.1,57.3,blue
MI,Escanaba,12678,47.3,52.7,41.1,23.9,91.7,1.4,0.8,1,28991,42366,29888,39315,2.14,2.8,2.2,40.4,10.6,12.4,5,39.1,57.3,blue
MI,Farmington,10397,47.1,52.9,38.9,16.7,70.9,9.5,2.2,14.8,57407,76908,50192,70625,2.26,2.91,1.4,15.8,5.1,29.8,24.2,39.1,57.3,blue
MI,FarmingtonHills,80045,48.4,51.6,41.5,18.5,68.2,17.6,2.2,11.2,70828,93103,49720,72301,2.37,2.97,2.2,17.4,6.3,28.3,22.6,39.1,57.3,blue
MI,Fenton,11681,48.4,51.6,35.7,16.9,92.1,2.2,3.4,1.5,48201,57092,34049,51578,2.25,2.97,2.7,29.2,7.8,17.7,9.7,39.1,57.3,blue
MI,Ferndale,20155,50.1,49.9,36.8,12.3,82.2,11.5,2.3,1.3,50174,58834,42091,47767,2.11,2.95,2.2,23.2,5.9,22.3,13.6,39.1,57.3,blue
MI,Flint,105391,47.5,52.5,33.5,13.7,38.1,56.6,3.9,0.5,26621,35631,30634,36484,2.51,3.32,4.7,37.8,6.2,7.6,3.8,39.1,57.3,blue
MI,Fraser,14620,46.3,53.7,42.2,19,92.3,3.5,1.7,1.8,52335,66605,37692,57089,2.39,3.08,3.2,30.4,10.8,13.4,5.5,39.1,57.3,blue
MI,GardenCity,27903,49.6,50.4,38.9,16.2,89.6,4.5,3.6,0.3,54094,63270,37336,47695,2.68,3.29,2.7,42.1,7.4,8.9,3.7,39.1,57.3,blue
MI,GrandHaven,10569,46.4,53.6,44.3,24,93.8,0.5,2.7,1.2,41957,56078,38794,41380,2.09,2.76,2.7,28.2,6,19.7,12.5,39.1,57.3,blue
MI,GrandRapids,189853,48.7,51.3,31,13.2,57.8,23.9,15.8,1.8,38731,51136,34773,38055,2.48,3.18,7.1,25.7,6.8,18.4,9.2,39.1,57.3,blue
MI,Grandville,15524,48.2,51.8,36,16.5,89.5,3.2,5.7,1.2,52594,61670,33809,46342,2.57,3.07,1.3,27.7,7.5,23.1,11.6,39.1,57.3,blue
MI,GrossePointePark,11636,47.5,52.5,41.4,17,83.3,11.6,3,1.6,95417,126368,61384,83208,2.7,3.23,2,11.7,7.9,26.7,33.8,39.1,57.3,blue
MI,GrossePointeWoods,16200,46.4,53.6,44.2,21,93.5,3.8,1.3,0.8,89068,104086,56768,76909,2.65,3.14,0.9,14.3,7.2,31,24.9,39.1,57.3,blue
MI,Hamtramck,22455,51.9,48.1,29.3,10.5,56.5,20.3,0.5,19.8,24366,32990,26004,25955,3.28,4.26,20.8,30.3,5.3,7,3.6,39.1,57.3,blue
MI,HarperWoods,14229,44.2,55.8,37.3,16.3,56.7,39.5,1.3,1.3,44030,53844,38897,43724,2.43,3.3,2.5,28.7,10.3,18,9.3,39.1,57.3,blue
MI,HazelPark,16703,48.7,51.3,35.5,14.6,80.3,12.4,1.6,0.9,35042,43722,29508,35354,2.47,3.18,5.5,41.4,4.3,7.4,1.9,39.1,57.3,blue
MI,HighlandPark,12288,47.2,52.8,41.7,17.2,4.7,93.9,0.7,0,19872,27873,32917,29635,2.58,3.63,4.9,34,7.6,5.5,3.5,39.1,57.3,blue
MI,Holland,33503,48,52,29.9,14.8,67.1,4.1,24,3.9,41334,53670,32238,40267,2.53,3.1,7,28.2,5.7,18.9,12,39.1,57.3,blue
MI,Inkster,25854,46.4,53.6,32.4,13.4,16.6,80.2,1.6,1.5,29076,37223,29630,35386,2.62,3.49,4.3,32.2,5.4,8.4,2,39.1,57.3,blue
MI,Ionia,11833,67,33,35.2,8.3,70,20.8,7.9,0.5,31924,40873,31139,34485,2.38,2.87,4.8,42.5,7.6,8.1,2.5,39.1,57.3,blue
MI,Jackson,33986,47.7,52.3,32.8,13.6,69.5,24.5,4.6,0.3,29589,39438,30193,40006,2.44,3.17,4.1,30.7,9,9.2,4.2,39.1,57.3,blue
MI,Kalamazoo,74372,48.7,51.3,25.7,10.6,67.9,22.2,6.7,2.1,31291,45764,30569,36435,2.33,3.06,3.7,23.7,7.1,18.4,13.8,39.1,57.3,blue
MI,Kentwood,48531,48.5,51.5,33,13,65.2,17.5,10,6.7,50799,60915,35678,46829,2.46,3.04,3.6,26.3,8.3,22.4,10.2,39.1,57.3,blue
MI,Lansing,115101,48.4,51.6,31.6,11.9,55.2,27.5,12.7,4,37528,45671,34180,38610,2.37,3.1,4.5,25.9,8.4,16.1,8.3,39.1,57.3,blue
MI,LincolnPark,38300,48.3,51.7,36.7,14.2,78,7.2,13.7,0.1,41945,49265,31860,44793,2.61,3.24,4.9,42.8,6,6.6,2.5,39.1,57.3,blue
MI,Livonia,97214,49.6,50.4,43.5,20.3,89.9,3.2,2.3,3.3,69887,80518,45464,63399,2.57,3.15,3,26.1,8.8,22.8,11.2,39.1,57.3,blue
MI,MadisonHeights,29850,50.6,49.4,38.6,16.5,85.5,5.1,1.6,5.9,42294,52912,36903,43033,2.35,3.02,5.4,32.8,8.5,16.7,5.6,39.1,57.3,blue
MI,Marquette,21311,51.6,48.4,30.4,15.4,90.5,4.8,2,0.9,36967,53670,30419,42635,2.22,2.87,2.9,27.1,6.6,22.4,13.8,39.1,57.3,blue
MI,Marysville,10005,49.4,50.6,40.9,20.8,96.4,0.1,2.3,0.2,52588,63710,39153,63115,2.38,3.02,2.3,35.5,9.7,13.9,9.1,39.1,57.3,blue
MI,Melvindale,10716,44.4,55.6,34.8,14.3,61.3,17.1,16.8,2.6,37094,44188,32242,43519,2.56,3.24,10.2,35.8,6.3,6.9,3.7,39.1,57.3,blue
MI,Midland,41991,48.9,51.1,37.6,18,90.3,2.3,2.6,3.6,50203,75572,37272,56463,2.28,2.9,1.8,21.6,8.4,25.2,17.2,39.1,57.3,blue
MI,Monroe,20977,46.2,53.8,37.1,15,86.8,7.6,4.1,0.3,44054,56422,34430,52050,2.38,2.96,4.4,34.7,9.8,11.4,7.2,39.1,57.3,blue
MI,MountClemens,16485,50.8,49.2,38.9,18.1,69.2,27.7,1.8,0.4,32317,48731,38469,47808,2.12,3.01,4.4,32.2,9,10.9,6.3,39.1,57.3,blue
MI,MountPleasant,26082,46.4,53.6,21.9,9.2,84.4,5.2,3,4,28020,45430,31845,37083,2.41,2.85,2.2,21.6,6.9,20.4,21.4,39.1,57.3,blue
MI,Muskegon,38775,52.9,47.1,35.7,14.1,54.6,36.6,6.6,0.8,25863,36110,28316,35398,2.34,3.17,7.2,39.5,7.2,8.2,3.1,39.1,57.3,blue
MI,MuskegonHeights,11041,42.8,57.2,30.4,13.3,17.6,79.5,1.9,1.5,19430,29176,36895,36962,2.68,3.18,4.4,44.7,7.5,2.1,1.8,39.1,57.3,blue
MI,NewBaltimore,11645,49.1,50.9,38.3,15,92,3.4,1.7,0.7,79125,85244,48901,66597,2.85,3.29,1.9,25.9,12.5,15.4,11.6,39.1,57.3,blue
MI,Niles,11650,46.3,53.7,33.3,15.6,76.7,15.9,6.1,0.5,31455,42441,26937,37446,2.47,3.15,6.2,35,10.1,8.7,4.7,39.1,57.3,blue
MI,NortonShores,23932,48.1,51.9,42.4,20.5,89.5,3.5,3.7,1.2,48309,63661,34466,49992,2.45,3,1.3,27,9.8,19.9,10.7,39.1,57.3,blue
MI,Novi,54446,49.4,50.6,39.1,13.9,73.7,7.4,2.3,15.3,76561,102691,52938,83779,2.41,3.1,1.3,14.9,7.5,30.6,24,39.1,57.3,blue
MI,OakPark,29663,45.5,54.5,38.3,15.9,39.4,56.3,0.8,1.3,44901,56454,43067,45795,2.5,3.19,3.1,21.5,9.9,18.6,10.8,39.1,57.3,blue
MI,Owosso,15306,47.1,52.9,34.9,13.9,94.6,0.5,3.6,0,36354,45059,30891,36494,2.4,2.87,3.4,39.8,8.3,10.1,4.6,39.1,57.3,blue
MI,Pontiac,60425,48.9,51.1,32.5,11.8,25.4,54.8,17.3,2.4,29189,39261,30381,32293,2.51,3.29,7,32.9,6.4,8.3,3.3,39.1,57.3,blue
MI,Portage,46135,48.8,51.2,37.4,16.7,83.9,8.1,2.8,3.8,56330,72146,40306,54646,2.42,3.01,0.9,23,9.4,25,13.9,39.1,57.3,blue
MI,PortHuron,30639,49.8,50.2,35.2,15.1,81.9,11.5,4.7,0.5,33460,45095,30853,40143,2.4,3.07,2.9,37.5,9.1,9.2,4.6,39.1,57.3,blue
MI,Riverview,12553,45.7,54.3,42,23.7,87.8,2.2,6.5,1.4,50630,64485,37892,52951,2.51,3.1,4.8,31.8,9,15,8.6,39.1,57.3,blue
MI,Rochester,12478,47.1,52.9,38.9,15,85.5,4.4,3.3,6,77407,106970,50081,77394,2.29,3.13,0.6,13.3,7.7,30.5,24.6,39.1,57.3,blue
MI,RochesterHills,70840,48.7,51.3,40.7,16,79.2,5.8,3.6,10.1,79009,99248,50581,81172,2.54,3.08,1.8,17.2,8,27.7,22.5,39.1,57.3,blue
MI,Romulus,23867,47.3,52.7,35.5,12.9,48.4,45.3,1.9,2.1,44298,52250,32422,48097,2.67,3.35,4.4,41.4,6.1,7,3.8,39.1,57.3,blue
MI,Roseville,47635,48.1,51.9,38.6,16.5,82,11.1,2.6,2.5,40681,48628,31837,44570,2.4,3.06,3,39.1,7.7,7.8,2.8,39.1,57.3,blue
MI,RoyalOak,57593,48.7,51.3,38.7,16.4,90.4,3.1,2.4,2.9,62495,76277,48121,62353,2.02,2.81,1,19.4,6.8,29.3,20.1,39.1,57.3,blue
MI,Saginaw,52525,47.2,52.8,32.9,13.2,38.6,47.8,13.2,0.4,27445,36983,27582,33950,2.64,3.45,5.8,36.9,6.9,7.2,3.5,39.1,57.3,blue
MI,St.ClairShores,60355,46.8,53.2,44.1,21.9,91.5,4.4,1.6,1,52775,63452,40957,53325,2.22,2.93,2.4,31.9,8.6,16.2,7.3,39.1,57.3,blue
MI,SaultSte.Marie,14325,49.6,50.4,34.4,16.5,73.8,2.4,2,1.3,35994,54327,29946,40044,2.24,2.96,2.4,33.2,6.7,12.2,8.7,39.1,57.3,blue
MI,Southfield,72502,44.5,55.5,41.9,20.7,26.2,70.3,1.3,1.9,50747,65159,46108,50768,2.25,2.98,1.7,20.7,7.6,22.4,15.7,39.1,57.3,blue
MI,Southgate,30035,48.3,51.7,40.4,19.8,86.6,4.8,5.4,2.1,45882,55568,37868,50468,2.34,3.17,4.1,37.4,8.5,10.4,5.8,39.1,57.3,blue
MI,SouthLyon,11178,47.7,52.3,37.4,16.5,91.9,1.7,3,2.4,52093,69797,46415,63824,2.4,3.09,4.3,20,8,26.8,11.8,39.1,57.3,blue
MI,SterlingHeights,129736,49.1,50.9,39.5,18.2,83.6,5.5,1.9,7.6,57272,68748,40591,56932,2.62,3.21,6.3,28.2,9.1,17.5,9.1,39.1,57.3,blue
MI,Sturgis,11067,47,53,32.4,16.5,75.2,1.6,21.2,0.3,38349,51070,32980,41279,2.71,3.45,7.7,38.3,7.5,10.9,4.1,39.1,57.3,blue
MI,Taylor,63332,48.1,51.9,36.7,15.8,74.3,17.8,5.5,1.2,42373,51659,33566,41894,2.66,3.19,4.8,40.2,5.7,7,2.2,39.1,57.3,blue
MI,TraverseCity,14711,46.7,53.3,38.6,17.6,93.1,1.4,3,0.6,43759,62597,34591,46210,2.16,2.94,1.8,19.9,8.6,26.6,14.2,39.1,57.3,blue
MI,Trenton,18906,46.8,53.2,44.6,23.2,91.2,3.3,4.1,0.5,54543,67484,49738,61694,2.42,3.08,2.8,31.7,9.6,14.6,9.2,39.1,57.3,blue
MI,Troy,81041,49.6,50.4,40.7,16.2,72.4,4.5,1.6,19.6,85946,109591,56426,81100,2.68,3.18,2.5,15.6,7.2,29.8,26.7,39.1,57.3,blue
MI,Walker,23444,48.2,51.8,34.1,14.2,91.8,3.3,1.5,2,52396,61271,36350,49644,2.37,3.07,2.3,31.4,9,18.8,7,39.1,57.3,blue
MI,Warren,135098,48.2,51.8,39.8,18.6,80.2,12,1.9,4.8,45434,54494,35712,45620,2.48,3.16,5.4,37.1,7.7,11.2,4.7,39.1,57.3,blue
MI,Wayne,17736,47.6,52.4,39.6,17.4,75.1,18.6,3.2,2.2,42143,49241,33125,42144,2.55,3.23,4.7,38,6.9,8.6,3.8,39.1,57.3,blue
MI,Westland,84266,47,53,37.9,16.7,73.4,18.7,3,3.8,44466,54760,35276,46847,2.38,3.11,2.6,37,7.5,12.8,5,39.1,57.3,blue
MI,Wixom,13496,49.6,50.4,30.5,7.3,76.4,15.2,5.5,3,48844,65763,32653,52300,2.28,3.08,2.1,21.3,9.4,23.7,13,39.1,57.3,blue
MI,Woodhaven,12839,50.7,49.3,37.6,14.3,89.3,5.9,3.3,1.2,62308,73997,39870,62500,2.63,3.21,1.1,31.8,9.4,13.2,7.9,39.1,57.3,blue
MI,Wyandotte,26073,50.2,49.8,40.5,16.8,91.4,1.7,5.1,0.4,50009,60131,37727,51342,2.43,3.17,3.5,39.1,9.7,10.3,5,39.1,57.3,blue
MI,Wyoming,72100,49.5,50.5,32.5,11.6,72.1,7.8,16.7,3.7,45246,53976,30691,41202,2.65,3.19,4.6,34.2,7.6,13.5,5.3,39.1,57.3,blue
MI,Ypsilanti,19880,49,51,24.6,9.5,62.1,29.3,3,4.4,33699,47498,31477,35378,2.07,3.04,3.9,18.4,7.5,19.4,16.3,39.1,57.3,blue
MN,AlbertLea,18046,48.3,51.7,43.5,25.4,84.3,1.9,11.9,1.3,35792,49357,27426,37362,2.22,2.89,6.6,39.2,10.1,9.7,4.1,37.5,56.6,blue
MN,Alexandria,11102,49.4,50.6,39.8,24.5,95.6,1.8,1.7,0.8,35050,44670,31486,36887,1.88,2.61,6.8,28,12.2,15.8,7.5,37.5,56.6,blue
MN,Andover,30371,50.3,49.7,36,8.9,93.7,1.6,2.3,1.2,89803,101559,44629,63542,3.14,3.36,0.7,26.5,13.2,22.8,8.7,37.5,56.6,blue
MN,Anoka,17357,49.9,50.1,37,16.1,87.7,4.4,3.4,1.5,46368,59718,37907,45709,2.29,2.94,2.6,33.7,10.8,14.3,5.8,37.5,56.6,blue
MN,AppleValley,49020,48.4,51.6,36.4,11.9,81.6,6.7,4,4.9,78767,93478,47935,65474,2.56,3.07,1.1,19.2,10.1,30.9,13.6,37.5,56.6,blue
MN,Austin,24559,49.3,50.7,37.6,21,79.6,3.6,13.8,2,39741,53993,31677,40616,2.31,2.92,8.3,31.7,10.3,12.2,4.8,37.5,56.6,blue
MN,Bemidji,13354,46.3,53.7,29.9,19.1,81.3,2.9,2.9,1,33974,43639,28008,34707,2.18,2.8,2.8,24.1,8.6,22.3,8.8,37.5,56.6,blue
MN,Blaine,56261,48.3,51.7,35.1,11.1,83.4,4.2,2.2,8.1,71954,83224,44267,54788,2.72,3.14,2.4,27.9,11.5,21.3,8.5,37.5,56.6,blue
MN,Bloomington,82962,48,52,42,21.4,76.6,8.3,7.1,6.5,60150,82022,42262,52414,2.29,2.91,2.4,24.2,8.2,27.1,11.3,37.5,56.6,blue
MN,Brainerd,13715,46.9,53.1,32.2,17.5,93.7,2.2,1.9,0.3,29310,42554,29577,34589,2.11,2.72,4.5,29.8,11.7,13.3,5.6,37.5,56.6,blue
MN,BrooklynCenter,29949,49.1,50.9,32.3,14.5,42.3,31.6,9.8,14.3,48083,58499,36177,40404,2.79,3.42,9.4,30.4,9.2,14.9,3.5,37.5,56.6,blue
MN,BrooklynPark,74743,49.9,50.1,31.7,9.5,50.3,27.8,6.3,14.6,61537,74650,40311,46478,2.92,3.36,4.9,25.3,10.3,21.2,8.3,37.5,56.6,blue
MN,Buffalo,15127,49.9,50.1,33.7,13.7,94.3,1.2,2.5,1.4,63533,70624,40267,52555,2.58,3.09,4.1,30.8,10.9,19.5,6.5,37.5,56.6,blue
MN,Burnsville,60699,48.8,51.2,36.7,14.5,74.4,11.3,7.2,5.5,63688,78879,43771,54084,2.46,3.08,2.6,22.5,10.9,25.8,9.6,37.5,56.6,blue
MN,Champlin,22937,50.2,49.8,37.9,9.2,88.7,5,2.7,2.7,81428,91433,44769,59444,2.68,3.11,0.6,25.4,12.5,24.3,8.6,37.5,56.6,blue
MN,Chanhassen,23000,49,51,38.8,9.8,90.9,1.9,1.9,4.1,102700,128779,53833,83229,2.8,3.26,0.2,11.2,7.9,40.6,19.8,37.5,56.6,blue
MN,Chaska,23429,49.5,50.5,33.5,8.2,86,2.4,8.7,2.5,70815,91361,40026,58043,2.61,3.08,3.4,21,12,27.9,11,37.5,56.6,blue
MN,Cloquet,12076,48.8,51.2,38,18.2,83.6,1.8,1.6,1,46650,58483,36551,49098,2.32,2.84,3.2,31.1,12.1,14.8,11.2,37.5,56.6,blue
MN,ColumbiaHeights,19532,50.2,49.8,35.1,16.8,61.8,18.8,11.2,6,51967,64512,40536,43538,2.54,3.23,7.1,30.9,8.9,14.1,7.5,37.5,56.6,blue
MN,CoonRapids,61876,48.9,51.1,36.2,13.1,85.8,5.8,3.2,3.8,63615,74933,41094,50298,2.61,3.16,2.4,31.5,12.6,16,7.1,37.5,56.6,blue
MN,CottageGrove,34394,50.5,49.5,34.7,9.6,82.8,5.9,4.9,5.3,82469,89924,44790,61518,2.97,3.31,1.2,28,12.8,23.6,8.3,37.5,56.6,blue
MN,Crystal,22154,49.7,50.3,36.9,15.5,75.8,11,6.1,5.4,61171,68490,41335,49900,2.43,3,2.9,27,10.5,23,7.5,37.5,56.6,blue
MN,Duluth,86177,49.1,50.9,32.8,16.4,89.7,3.2,1.5,1.7,41116,56671,33535,44471,2.19,2.82,2.2,26.6,9.4,20.4,10.8,37.5,56.6,blue
MN,Eagan,64535,49.4,50.6,36.3,9.8,79.9,7.2,4,7.5,80243,101340,49618,66434,2.54,3.11,1.2,16,9.6,32.9,17.4,37.5,56.6,blue
MN,EastBethel,11621,51.8,48.2,39.1,8.6,94.7,1.2,0.9,1.7,78986,84794,44044,57209,2.83,3.14,1,35.5,12.8,12.2,3,37.5,56.6,blue
MN,EdenPrairie,60024,49.5,50.5,36.6,10.7,79.4,5.8,4.1,9.4,91711,128435,55256,75752,2.61,3.12,1.3,11.1,8.3,40.9,19.7,37.5,56.6,blue
MN,Edina,47790,46.6,53.4,44.6,24,86.4,3.2,2.2,6.1,80652,131639,57246,85655,2.31,3.02,1.3,11.7,5.5,37.6,26.4,37.5,56.6,blue
MN,ElkRiver,22790,50.4,49.6,34.3,10.9,90.9,1.9,2.8,3,70224,82016,41953,56580,2.79,3.25,1.8,26.3,12.3,21.8,7.5,37.5,56.6,blue
MN,Fairmont,10639,47.9,52.1,45.5,23.8,93.7,0.7,5.5,0,40711,53271,31706,39267,2.15,2.8,5.4,34.8,9.3,15.6,6.3,37.5,56.6,blue
MN,Faribault,23195,53.1,46.9,36.5,16.3,74.4,7.5,15.5,1,47952,56596,35176,42807,2.48,3.07,6.4,38.9,6.7,12.3,6.2,37.5,56.6,blue
MN,Farmington,20305,49.2,50.8,32.8,6.5,87.8,3,5.2,2.8,82990,83724,42640,55756,2.94,3.29,1.2,23.6,12.8,24.9,4.8,37.5,56.6,blue
MN,FergusFalls,13258,47.5,52.5,40.3,21.6,97,1,0.7,0.3,38673,53028,31430,41831,2.12,2.73,4.9,26,13.8,19.1,7,37.5,56.6,blue
MN,ForestLake,18077,47.2,52.8,37.9,15.9,91.8,1.7,2.4,2.5,65985,80509,43205,52233,2.53,2.94,1.9,29.3,12.4,19.1,9.9,37.5,56.6,blue
MN,Fridley,27394,49.2,50.8,38.3,18.6,72.4,11.7,8.1,5,52024,62272,38563,45907,2.35,3.04,4,30.6,8.7,18.4,8.9,37.5,56.6,blue
MN,GoldenValley,20314,48.1,51.9,45.6,23.6,81.5,10.2,2.4,4.2,82748,106127,52813,65707,2.26,2.8,1.6,17.5,6.7,32.9,20.1,37.5,56.6,blue
MN,GrandRapids,10833,49.6,50.4,43.7,25.9,96.2,0.8,0.4,0.2,41931,56061,30717,49740,2.15,2.84,3.3,37.8,8.1,15.5,8.1,37.5,56.6,blue
MN,HamLake,15112,52.4,47.6,41.2,12.5,94.3,0.5,3.3,1.1,91136,104596,47023,65760,2.89,3.21,1,30.3,10.2,20.9,7.6,37.5,56.6,blue
MN,Hastings,21899,49.5,50.5,36.5,15.4,92.9,1.8,3.5,1.1,63895,74369,42343,55865,2.51,3.1,2.6,33,11.2,17.6,7.4,37.5,56.6,blue
MN,Hibbing,16395,48.6,51.4,43,22.1,94.4,1,1.8,0.4,38267,50861,31699,43950,2.1,2.71,2.4,35.3,11.4,11.7,4.7,37.5,56.6,blue
MN,Hopkins,17531,46.5,53.5,33,12.6,63.6,19,6.8,7.8,48533,63855,43655,53022,2.16,3,3,22,10.5,29,10.1,37.5,56.6,blue
MN,Hugo,12685,49.2,50.8,33.7,9.4,89.4,1.3,3.6,4.5,78406,90428,46004,60844,2.66,3.05,0.7,26.2,11,28.7,9.2,37.5,56.6,blue
MN,Hutchinson,14185,49.9,50.1,38.1,18.1,92.4,1.5,3.9,1.4,53288,69112,38614,50679,2.3,2.87,4.2,30.6,15.5,17.2,5.8,37.5,56.6,blue
MN,InverGroveHeights,33638,48.2,51.8,37.2,14.7,81.9,4,9.9,3.7,64640,85844,44855,53154,2.5,3.04,1.6,28.3,10.7,21.7,9.1,37.5,56.6,blue
